,Company(1),Business Description,Investment,Interest(5)(9),,Acquisition  Date,,Amortized  Cost,Fair  Value
272,"Crown Health Care Laundry Services, LLC and Crown Laundry Holdings, LLC (4)(17)",Provider of outsourced healthcare linen management solutions,First lien senior secured loan ($11.8 par due 12/2021),8.05% (Libor + 6.25%/M),0,6/12/2018,0,11.8,11.8
273,"Crown Health Care Laundry Services, LLC and Crown Laundry Holdings, LLC (4)(17)",Provider of outsourced healthcare linen management solutions,"Class A preferred units (3,393,973 units)",0,0,3/13/2014,0,4.0,6.0
274,"Crown Health Care Laundry Services, LLC and Crown Laundry Holdings, LLC (4)(17)",Provider of outsourced healthcare linen management solutions,"Class B common units (377,108 units)",0,0,3/13/2014,0,0.4,0.6
275,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (17)",Provider of legal process outsourcing and managed services,First lien senior secured revolving loan ($1.8 par due 9/2021),6.31% (Libor + 4.50%/Q),0,9/23/2016,0,1.8,1.6
276,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (17)",Provider of legal process outsourcing and managed services,"Class A common stock (7,500 shares)",0,0,8/19/2014,0,7.5,5.7
277,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (17)",Provider of legal process outsourcing and managed services,"Class B common stock (7,500 shares)",0,0,8/19/2014,0,0.0,0.0
278,"Gordian Group, LLC",Provider of nationwide investment banking and advisory services,Common stock (526 shares),0,0,11/30/2012,0,0.0,0.0
279,"HAI Acquisition Corporation and Aloha Topco, LLC (17)","Professional employer organization offering human resources, compliance and risk management services",First lien senior secured loan ($62.2 par due 11/2024),7.39% (Libor + 5.50%/Q),0,11/1/2017,0,62.2,62.2
280,"HAI Acquisition Corporation and Aloha Topco, LLC (17)","Professional employer organization offering human resources, compliance and risk management services","Class A units (16,980 units)",0,0,11/1/2017,0,1.7,2.7
281,"IMIA Holdings, Inc. (17)",Marine preservation maintenance company,First lien senior secured revolving loan,0,0,10/26/2018,0,0.0,0.0
282,"IMIA Holdings, Inc. (17)",Marine preservation maintenance company,First lien senior secured loan ($17.9 par due 10/2024),6.45% (Libor + 4.50%/Q),0,10/26/2018,0,17.8,17.9
283,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",Market research company focused on the consumer packaged goods industry,First lien senior secured loan ($56.1 par due 12/2025),6.30% (Libor + 4.50%/M),0,11/30/2018,0,55.7,55.0
284,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",Market research company focused on the consumer packaged goods industry,Second lien senior secured loan ($86.8 par due 11/2026),9.80% (Libor + 8.00%/M),0,11/30/2018,0,85.5,85.1
285,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",Market research company focused on the consumer packaged goods industry,"Series A-1 preferred shares (46,900 shares)",12.41% PIK (Libor + 10.50%/S),0,11/30/2018,0,51.6,52.3
286,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",Market research company focused on the consumer packaged goods industry,"Class A-1 common units (90,500 units)",0,0,11/30/2018,0,9.1,9.9
287,"Kaufman, Hall & Associates, LLC (17)",Provider of specialty advisory services and software solutions to the healthcare market,First lien senior secured loan ($14.9 par due 5/2025),7.13% (Libor + 5.25%/Q),0,11/9/2018,0,14.9,14.9
288,"Kellermeyer Bergensons Services, LLC (17)",Provider of janitorial and facilities management services,First lien senior secured loan ($30.3 par due 11/2026),8.39% (Libor + 6.50%/Q),0,11/7/2019,0,30.0,30.0
289,KPS Global LLC and Cool Group LLC,Manufacturer of walk-in cooler and freezer systems,First lien senior secured loan ($4.2 par due 4/2022),8.36% (Libor + 6.56%/M),0,11/16/2018,0,4.2,4.2
290,KPS Global LLC and Cool Group LLC,Manufacturer of walk-in cooler and freezer systems,First lien senior secured loan ($1.4 par due 4/2022),4.30% (Libor + 2.50%/M),0,4/5/2017,0,1.4,1.4
291,KPS Global LLC and Cool Group LLC,Manufacturer of walk-in cooler and freezer systems,First lien senior secured loan ($15.2 par due 4/2022),8.27% (Libor + 6.47%/M),0,4/5/2017,0,15.2,15.2
292,KPS Global LLC and Cool Group LLC,Manufacturer of walk-in cooler and freezer systems,"Class A units (13,292 units)",0,0,9/21/2018,0,1.1,2.2
293,Laboratories Bidco LLC (17),Lab testing services for nicotine containing products,First lien senior secured loan ($35.8 par due 6/2024),7.70% (Libor + 5.75%/M),0,10/4/2019,0,35.8,35.4
294,Laboratories Bidco LLC (17),Lab testing services for nicotine containing products,First lien senior secured loan ($25.2 par due 6/2024),8.06% (Libor + 6.00%/Q),0,10/4/2019,0,24.7,25.0
295,"Microstar Logistics LLC, Microstar Global Asset Management LLC, and MStar Holding Corporation",Keg management solutions provider,Second lien senior secured loan ($127.5 par due 7/2021),9.70% (Libor + 7.50%/Q),0,12/14/2012,0,127.5,127.5
296,"Microstar Logistics LLC, Microstar Global Asset Management LLC, and MStar Holding Corporation",Keg management solutions provider,"Common stock (54,710 shares)",0,0,12/14/2012,0,4.9,8.8
297,"MPH Energy Holdings, LP",Operator of municipal recycling facilities,Limited partnership interest (3.13% interest),0,0,1/8/2014,0,0.0,0.0
298,"MSHC, Inc. (17)","Heating, ventilation and air conditioning services provider",First lien senior secured revolving loan ($1.0 par due 12/2024),6.73% (Libor + 4.25%/M),0,7/31/2017,0,1.0,1.0
299,"MSHC, Inc. (17)","Heating, ventilation and air conditioning services provider",Second lien senior secured loan ($2.8 par due 12/2025),10.05% (Libor + 8.25%/M),0,11/20/2018,0,2.8,2.8
300,"MSHC, Inc. (17)","Heating, ventilation and air conditioning services provider",Second lien senior secured loan ($46.0 par due 12/2025),10.05% (Libor + 8.25%/M),0,7/31/2017,0,46.0,46.0
301,"MSHC, Inc. (17)","Heating, ventilation and air conditioning services provider",Second lien senior secured loan ($4.8 par due 12/2025),10.05% (Libor + 8.25%/M),0,7/31/2017,0,4.8,4.8
302,"MSHC, Inc. (17)","Heating, ventilation and air conditioning services provider",Second lien senior secured loan ($26.4 par due 12/2025),10.05% (Libor + 8.25%/M),0,6/27/2018,0,26.4,26.4
303,"MVL Group, Inc. (5)",Marketing research provider,"Common stock (560,716 shares)",0,0,4/1/2010,0,0.0,0.0
304,"NAS, LLC, Nationwide Marketing Group, LLC and Nationwide Administrative Services, Inc.","Buying and marketing services organization for appliance, furniture and consumer electronics dealers",Second lien senior secured loan ($31.1 par due 12/2021),10.70% (Libor + 8.75%/Q),0,6/1/2015,0,31.1,31.1
305,National Intergovernmental Purchasing Alliance Company (17),Leading group purchasing organization (“GPO”) for public agencies and educational institutions in the U.S,First lien senior secured revolving loan ($6.9 par due 5/2023),5.46% (Libor + 3.50%/Q),0,5/23/2018,0,6.9,6.9
306,"NM GRC HOLDCO, LLC (17)",Regulatory compliance services provider to financial institutions,First lien senior secured loan ($35.6 par due 2/2024),7.95% (Libor + 6.00%/Q),0,2/9/2018,0,35.3,34.5
307,"NM GRC HOLDCO, LLC (17)",Regulatory compliance services provider to financial institutions,First lien senior secured loan ($9.5 par due 2/2024),7.95% (Libor + 6.00%/Q),0,2/9/2018,0,9.5,9.2
308,Petroleum Service Group LLC (17),Provider of operational services for US petrochemical and refining companies,First lien senior secured revolving loan,0,0,7/23/2019,0,0.0,0.0
309,Petroleum Service Group LLC (17),Provider of operational services for US petrochemical and refining companies,First lien senior secured loan ($37.0 par due 7/2025),7.43% (Libor + 5.50%/Q),0,7/23/2019,0,37.0,36.3
310,"PHL Investors, Inc., and PHL Holding Co. (5)",Mortgage services,Class A common stock (576 shares),0,0,7/31/2012,0,3.8,0.0
311,Puerto Rico Waste Investment LLC,Waste management service provider,First lien senior secured loan ($31.3 par due 9/2024),9.08% (Libor + 7.00%/Q),0,9/20/2019,0,31.3,31.0
312,"QC Supply, LLC (17)",Specialty distributor and solutions provider to the swine and poultry markets,First lien senior secured revolving loan ($10.0 par due 12/2021),8.30% (Libor + 6.50%/M),0,12/29/2016,0,10.0,9.7
313,"QC Supply, LLC (17)",Specialty distributor and solutions provider to the swine and poultry markets,First lien senior secured loan ($25.8 par due 12/2022),8.30% (Libor + 6.50%/M),0,12/29/2016,0,25.8,25.0
314,"QC Supply, LLC (17)",Specialty distributor and solutions provider to the swine and poultry markets,First lien senior secured loan ($8.6 par due 12/2022),8.30% (Libor + 6.50%/M),0,12/29/2016,0,8.6,8.4
315,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",0,0,5/29/2007,0,0.3,0.3
316,"RE Community Holdings GP, LLC and RE Community Holdings, LP",Operator of municipal recycling facilities,Limited partnership interest (2.86% interest),0,0,3/1/2011,0,0.0,0.0
317,"RE Community Holdings GP, LLC and RE Community Holdings, LP",Operator of municipal recycling facilities,Limited partnership interest (2.49% interest),0,0,3/1/2011,0,0.0,0.0
318,"Research Now Group, LLC and Survey Sampling International, LLC",Provider of outsourced data collection to the market research industry,First lien senior secured loan ($41.5 par due 12/2024),7.41% (Libor + 5.50%/Q),0,2/14/2019,0,41.0,41.5
319,"Revint Intermediate II, LLC (17)",Revenue cycle consulting firm to the healthcare industry,First lien senior secured revolving loan ($7.2 par due 12/2023),6.30% (Libor + 4.50%/M),0,12/13/2017,0,7.2,7.1
320,"Revint Intermediate II, LLC (17)",Revenue cycle consulting firm to the healthcare industry,First lien senior secured loan ($21.3 par due 12/2023),6.37% (Libor + 4.50%/M),0,12/13/2017,0,21.3,21.1
321,"Revint Intermediate II, LLC (17)",Revenue cycle consulting firm to the healthcare industry,First lien senior secured loan ($13.7 par due 12/2023),7.05% (Libor + 5.25%/M),0,9/3/2019,0,13.7,13.5
322,"RMP Group, Inc (17)",Revenue cycle management provider to the emergency healthcare industry,First lien senior secured revolving loan ($0.6 par due 3/2022),6.30% (Libor + 4.50%/M),0,2/8/2018,0,0.6,0.6
323,"SecurAmerica, LLC, ERMC LLC, ERMC Of America, LLC, SecurAmerica Corporation, ERMC Aviation LLC, American Security Programs, Inc., USI LLC and Argenbright Holdings IV, LLC (17)","Provider of outsourced security guard services, outsourced facilities management and outsourced aviation services",First lien senior secured revolving loan ($0.0 par due 6/2023),4.70% (Libor + 3.00%/M),0,12/21/2018,0,0.0,0.0
324,"SecurAmerica, LLC, ERMC LLC, ERMC Of America, LLC, SecurAmerica Corporation, ERMC Aviation LLC, American Security Programs, Inc., USI LLC and Argenbright Holdings IV, LLC (17)","Provider of outsourced security guard services, outsourced facilities management and outsourced aviation services",First lien senior secured loan ($25.8 par due 12/2023),8.05% (Libor + 6.25%/M),0,12/21/2018,0,25.8,25.8
325,"SecurAmerica, LLC, ERMC LLC, ERMC Of America, LLC, SecurAmerica Corporation, ERMC Aviation LLC, American Security Programs, Inc., USI LLC and Argenbright Holdings IV, LLC (17)","Provider of outsourced security guard services, outsourced facilities management and outsourced aviation services",First lien senior secured loan ($7.5 par due 12/2023),8.05% (Libor + 6.25%/M),0,12/21/2018,0,7.5,7.5
326,"SecurAmerica, LLC, ERMC LLC, ERMC Of America, LLC, SecurAmerica Corporation, ERMC Aviation LLC, American Security Programs, Inc., USI LLC and Argenbright Holdings IV, LLC (17)","Provider of outsourced security guard services, outsourced facilities management and outsourced aviation services",First lien senior secured loan ($1.7 par due 12/2023),8.03% (Libor + 6.25%/M),0,12/21/2018,0,1.7,1.7
327,"SOS Security Holdings LLC and SOS Co-Investment Vehicle, L.P. (17)",Provider of manned security guard services,First lien senior secured revolving loan,0,0,4/30/2019,0,0.0,0.0
328,"SOS Security Holdings LLC and SOS Co-Investment Vehicle, L.P. (17)",Provider of manned security guard services,"Limited partnership units (4,698,000 units)",0,0,4/30/2019,0,4.7,7.2
329,"Startec Equity, LLC (5)",Communication services,Member interest,0,0,4/1/2010,0,0.0,0.0
330,"TDG Group Holding Company and TDG Co-Invest, LP (17)",Operator of multiple franchise concepts primarily related to home maintenance or repairs,First lien senior secured loan ($9.2 par due 5/2024),7.45% (Libor + 5.50%/Q),0,5/31/2018,0,9.2,9.2
331,"TDG Group Holding Company and TDG Co-Invest, LP (17)",Operator of multiple franchise concepts primarily related to home maintenance or repairs,First lien senior secured loan ($6.1 par due 5/2024),7.45% (Libor + 5.50%/Q),0,8/24/2018,0,6.1,6.1
332,"TDG Group Holding Company and TDG Co-Invest, LP (17)",Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Preferred units (2,871,000 units)",0,0,5/31/2018,0,2.9,3.2
333,"TDG Group Holding Company and TDG Co-Invest, LP (17)",Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Common units (29,000 units)",0,0,5/31/2018,0,0.0,0.4
334,Tyden Group Holding Corp.,"Producer and marketer of global cargo security, product identification and traceability products and utility meter products","Preferred stock (46,276 shares)",0,0,1/3/2017,0,0.4,0.0
335,Tyden Group Holding Corp.,"Producer and marketer of global cargo security, product identification and traceability products and utility meter products","Common stock (5,521,203 shares)",0,0,1/3/2017,0,2.0,3.7
336,"UL Holding Co., LLC (4)",Provider of collection and landfill avoidance solutions for food waste and unsold food products,Senior subordinated loan ($29.9 par due 5/2020),10.00% PIK,0,4/30/2012,0,12.6,29.9
337,"UL Holding Co., LLC (4)",Provider of collection and landfill avoidance solutions for food waste and unsold food products,Senior subordinated loan ($3.8 par due 5/2020),0,0,4/30/2012,0,1.6,3.8
338,"UL Holding Co., LLC (4)",Provider of collection and landfill avoidance solutions for food waste and unsold food products,Senior subordinated loan ($3.5 par due 5/2020),10.00% PIK,0,4/30/2012,0,1.4,3.5
339,"UL Holding Co., LLC (4)",Provider of collection and landfill avoidance solutions for food waste and unsold food products,Senior subordinated loan ($0.4 par due 5/2020),0,0,4/30/2012,0,0.2,0.4
340,"UL Holding Co., LLC (4)",Provider of collection and landfill avoidance solutions for food waste and unsold food products,Senior subordinated loan ($7.5 par due 5/2020),10.00% PIK,0,4/30/2012,0,3.1,7.5
341,"UL Holding Co., LLC (4)",Provider of collection and landfill avoidance solutions for food waste and unsold food products,Senior subordinated loan ($0.5 par due 5/2020),0,0,4/30/2012,0,0.2,0.5
342,"UL Holding Co., LLC (4)",Provider of collection and landfill avoidance solutions for food waste and unsold food products,"Class A common units (533,351 units)",0,0,6/17/2011,0,5.0,1.1
343,"UL Holding Co., LLC (4)",Provider of collection and landfill avoidance solutions for food waste and unsold food products,"Class B-5 common units (272,834 units)",0,0,6/17/2011,0,2.5,0.5
344,"UL Holding Co., LLC (4)",Provider of collection and landfill avoidance solutions for food waste and unsold food products,"Class C common units (758,546 units)",0,0,4/25/2008,0,0.0,0.0
345,"UL Holding Co., LLC (4)",Provider of collection and landfill avoidance solutions for food waste and unsold food products,"Warrant to purchase up to 719,044 shares of Class A units",0,0,5/2/2014,0,0.0,0.0
346,"UL Holding Co., LLC (4)",Provider of collection and landfill avoidance solutions for food waste and unsold food products,"Warrant to purchase up to 28,663 shares of Class B-1 units",0,0,5/2/2014,0,0.0,0.0
347,"UL Holding Co., LLC (4)",Provider of collection and landfill avoidance solutions for food waste and unsold food products,"Warrant to purchase up to 57,325 shares of Class B-2 units",0,0,5/2/2014,0,0.0,0.0
348,"UL Holding Co., LLC (4)",Provider of collection and landfill avoidance solutions for food waste and unsold food products,"Warrant to purchase up to 29,645 shares of Class B-3 units",0,0,5/2/2014,0,0.0,0.0
349,"UL Holding Co., LLC (4)",Provider of collection and landfill avoidance solutions for food waste and unsold food products,"Warrant to purchase up to 80,371 shares of Class B-5 units",0,0,5/2/2014,0,0.0,0.0
350,"UL Holding Co., LLC (4)",Provider of collection and landfill avoidance solutions for food waste and unsold food products,"Warrant to purchase up to 59,655 shares of Class B-6 units",0,0,5/2/2014,0,0.0,0.0
351,"UL Holding Co., LLC (4)",Provider of collection and landfill avoidance solutions for food waste and unsold food products,"Warrant to purchase up to 1,046,713 shares of Class C units",0,0,5/2/2014,0,0.0,0.0
352,"Visual Edge Technology, Inc.",Provider of outsourced office solutions with a focus on printer and copier equipment and other parts and supplies,First lien senior secured loan ($16.7 par due 8/2022),"8.91% (Libor + 5.75% Cash, 1.25% PIK/Q)",0,8/31/2017,0,16.7,16.4
353,"Visual Edge Technology, Inc.",Provider of outsourced office solutions with a focus on printer and copier equipment and other parts and supplies,First lien senior secured loan ($15.6 par due 8/2022),"8.91% (Libor + 5.75% Cash, 1.25% PIK/Q)",0,8/31/2017,0,15.6,15.3
354,"Visual Edge Technology, Inc.",Provider of outsourced office solutions with a focus on printer and copier equipment and other parts and supplies,Senior subordinated loan ($64.6 par due 9/2024),15.00% PIK,0,8/31/2017,0,61.9,60.7
355,"Visual Edge Technology, Inc.",Provider of outsourced office solutions with a focus on printer and copier equipment and other parts and supplies,"Warrant to purchase up to 1,961,452 shares of preferred stock (expires 8/2027)",0,0,8/31/2017,0,3.9,0.5
356,"Visual Edge Technology, Inc.",Provider of outsourced office solutions with a focus on printer and copier equipment and other parts and supplies,"Warrant to purchase up to 1,720,432 shares of common stock (expires 8/2027)",0,0,8/31/2017,0,0.0,0.0
357,"VLS Recovery Services, LLC (17)",Provider of commercial and industrial waste processing and disposal services,First lien senior secured revolving loan,0,0,10/17/2017,0,0.0,0.0
358,"VRC Companies, LLC (17)",Provider of records and information management services,First lien senior secured revolving loan ($0.8 par due 3/2022),8.61% (Libor + 6.50%/M),0,4/17/2017,0,0.8,0.8
359,"VRC Companies, LLC (17)",Provider of records and information management services,First lien senior secured loan ($15.0 par due 3/2023),8.30% (Libor + 6.50%/M),0,3/31/2017,0,15.0,15.0
360,"VRC Companies, LLC (17)",Provider of records and information management services,First lien senior secured loan ($4.0 par due 3/2023),8.30% (Libor + 6.50%/M),0,7/31/2019,0,4.0,4.0
361,"WCI-HFG Holdings, LLC",Distributor of repair and replacement parts for commercial kitchen equipment,"Preferred units (1,400,000 units)",0,0,10/20/2015,0,1.4,2.5
362,"XIFIN, Inc. (17)",Revenue cycle management provider to labs,First lien senior secured revolving loan ($0.7 par due 11/2020),8.50% (Base Rate + 3.75%/Q),0,2/8/2018,0,0.7,0.7
363,"Apex Clean Energy Holdings, LLC","Developer, builder and owner of utility-scale wind and solar power facilities",First lien senior secured loan ($85.1 par due 9/2022),8.70% (Libor + 6.75%/Q),0,9/24/2018,0,85.1,85.1
364,"Apex Clean Energy Holdings, LLC","Developer, builder and owner of utility-scale wind and solar power facilities",First lien senior secured loan ($19.6 par due 9/2022),8.69% (Libor + 6.75%/Q),0,6/10/2019,0,19.6,19.6
365,Beacon RNG LLC,Owner of natural gas facilities,"Class B units (35,000,000 units)",0,0,3/11/2019,0,35.0,38.2
366,"CPV Maryland Holding Company II, LLC",Gas turbine power generation facilities operator,Senior subordinated loan ($58.0 par due 12/2020),13.00% PIK,0,8/8/2014,0,58.0,54.5
367,DGH Borrower LLC,"Developer, owner and operator of quick start, small-scale natural gas-fired power generation projects",First lien senior secured loan ($53.5 par due 6/2023),8.70% (Libor + 6.75%/Q),0,6/8/2018,0,53.5,53.5
368,"Green Energy Partners, Stonewall LLC and Panda Stonewall Intermediate Holdings II LLC",Gas turbine power generation facilities operator,First lien senior secured loan ($14.5 par due 11/2021),7.45% (Libor + 5.50%/Q),0,11/13/2014,0,14.5,13.4
369,"Green Energy Partners, Stonewall LLC and Panda Stonewall Intermediate Holdings II LLC",Gas turbine power generation facilities operator,Senior subordinated loan ($22.2 par due 12/2021),"7.00% cash, 6.25% PIK",0,11/13/2014,0,22.2,20.4
370,"Green Energy Partners, Stonewall LLC and Panda Stonewall Intermediate Holdings II LLC",Gas turbine power generation facilities operator,Senior subordinated loan ($103.8 par due 12/2021),"7.00% cash, 6.25% PIK",0,11/13/2014,0,103.8,95.3
371,"Heelstone Energy Holdings, LLC and Heelstone Renewable Energy, LLC (5)",Solar power generation facility developer and operator,"Preferred stock (2,700,000 shares)",0,0,6/28/2019,0,15.3,15.3
372,"Heelstone Energy Holdings, LLC and Heelstone Renewable Energy, LLC (5)",Solar power generation facility developer and operator,"Preferred stock (111,181 shares)",0,0,6/28/2019,0,41.5,41.5
373,"Heelstone Energy Holdings, LLC and Heelstone Renewable Energy, LLC (5)",Solar power generation facility developer and operator,"Common stock (19,119 shares)",0,0,6/28/2019,0,0.0,0.0
374,Moxie Patriot LLC,Gas turbine power generation facilities operator,First lien senior secured loan ($32.2 par due 12/2020),7.70% (Libor + 5.75%/Q),0,12/19/2013,0,32.1,27.7
375,Navisun LLC and Navisun Holdings LLC (5)(17),Owner and operater of commercial and industrial solar projects,First lien senior secured loan ($49.7 par due 11/2023),8.00% PIK,0,11/15/2017,0,49.7,49.7
376,Navisun LLC and Navisun Holdings LLC (5)(17),Owner and operater of commercial and industrial solar projects,First lien senior secured loan ($13.8 par due 11/2023),9.00% PIK,0,3/7/2019,0,13.8,13.8
377,Navisun LLC and Navisun Holdings LLC (5)(17),Owner and operater of commercial and industrial solar projects,First lien senior secured loan ($29.2 par due 11/2023),8.00% PIK,0,8/15/2019,0,29.2,29.2
378,Navisun LLC and Navisun Holdings LLC (5)(17),Owner and operater of commercial and industrial solar projects,"Series A preferred units (1,000 units)",10.50% PIK,0,11/15/2017,0,10.5,10.5
379,Navisun LLC and Navisun Holdings LLC (5)(17),Owner and operater of commercial and industrial solar projects,Class A units (550 units),0,0,11/15/2017,0,0.0,0.4
380,Panda Liberty LLC (fka Moxie Liberty LLC),Gas turbine power generation facilities operator,First lien senior secured loan ($49.1 par due 8/2020),8.45% (Libor + 6.50%/Q),0,4/6/2018,0,48.1,42.6
381,Panda Liberty LLC (fka Moxie Liberty LLC),Gas turbine power generation facilities operator,First lien senior secured loan ($33.6 par due 8/2020),8.45% (Libor + 6.50%/Q),0,8/21/2013,0,33.6,29.2
382,"Panda Temple Power, LLC and T1 Power Holdings LLC (4)",Gas turbine power generation facilities operator,Second lien senior secured loan ($9.8 par due 2/2023),9.80% PIK (Libor + 8.00%/M),0,3/6/2015,0,9.8,9.8
383,"Panda Temple Power, LLC and T1 Power Holdings LLC (4)",Gas turbine power generation facilities operator,"Class A common units (616,122 shares)",0,0,3/6/2015,0,15.0,11.9
384,PERC Holdings 1 LLC,"Operator of recycled energy, combined heat and power, and energy efficiency facilities","Class B common units (21,653,543 units)",0,0,10/20/2014,0,8.8,28.1
385,Riverview Power LLC,Operator of natural gas and oil fired power generation facilities,First lien senior secured loan ($81.2 par due 12/2022),9.95% (Libor + 8.00%/Q),0,12/29/2016,0,79.9,81.2
386,"SE1 Generation, LLC",Solar power developer,Senior subordinated loan ($52.6 par due 12/2022),9.50% PIK,0,12/17/2019,0,52.6,52.1
387,"Sunrun Xanadu Issuer 2019-1, LLC, Sunrun Atlas Depositor 2019-2, LLC, Sunrun Xanadu Holdings 2019-1, LLC and Sunrun Atlas Holdings 2019-2, LLC",Residential solar energy provider,First lien senior secured loan ($0.1 par due 2/2055),3.61,%,0,10/28/2019,0.1,0.1
388,"Sunrun Xanadu Issuer 2019-1, LLC, Sunrun Atlas Depositor 2019-2, LLC, Sunrun Xanadu Holdings 2019-1, LLC and Sunrun Atlas Holdings 2019-2, LLC",Residential solar energy provider,First lien senior secured loan ($0.4 par due 6/2054),3.98%,0,6/7/2019,0,0.4,0.5
389,"Sunrun Xanadu Issuer 2019-1, LLC, Sunrun Atlas Depositor 2019-2, LLC, Sunrun Xanadu Holdings 2019-1, LLC and Sunrun Atlas Holdings 2019-2, LLC",Residential solar energy provider,Senior subordinated loan ($65.0 par due 7/2030),8.75% (Libor + 6.75%/Q),0,6/27/2019,0,65.0,65.0
390,"Sunrun Xanadu Issuer 2019-1, LLC, Sunrun Atlas Depositor 2019-2, LLC, Sunrun Xanadu Holdings 2019-1, LLC and Sunrun Atlas Holdings 2019-2, LLC",Residential solar energy provider,Senior subordinated loan ($135.0 par due 11/2025),8.75% (Libor + 6.75%/Q),0,11/26/2019,0,135.0,132.3
391,ACAS Equity Holdings Corporation (5),Investment company,Common stock (589 shares),0,0,1/3/2017,0,0.4,0.0
392,Ares IIIR/IVR CLO Ltd.,Investment vehicle,Subordinated notes ($20.0 par due 4/2021),0,0,1/3/2017,0,0.0,0.1
393,"Blue Wolf Capital Fund II, L.P. (4)",Investment partnership,Limited partnership interest (8.50% interest),0,0,1/3/2017,0,1.6,2.7
394,Carlyle Global Market Strategies CLO 2015-3,Investment vehicle,Subordinated notes ($24.6 par due 7/2028),9.4,%,0,1/3/2017,12.8,9.2
395,CoLTs 2005-1 Ltd. (5),Investment vehicle,Preferred shares (360 shares),0,0,1/3/2017,0,0.0,0.0
396,CoLTs 2005-2 Ltd. (5),Investment vehicle,"Preferred shares (34,170,000 shares)",0,0,1/3/2017,0,0.0,0.0
397,CREST Exeter Street Solar 2004-1,Investment vehicle,"Preferred shares (3,500,000 shares)",0,0,1/3/2017,0,0.0,0.0
398,Eaton Vance CDO X plc,Investment vehicle,Subordinated notes ($9.2 par due 2/2027),0,0,1/3/2017,0,0.0,0.1
399,European Capital UK SME Debt LP (4),Investment partnership,Limited partnership interest (45% interest),0,0,1/3/2017,0,38.7,40.4
400,"HCI Equity, LLC (5)",Investment company,Member interest (100.00% interest),0,0,4/1/2010,0,0.0,0.1
401,Herbert Park B.V.,Investment vehicle,Subordinated notes ($6.0 par due 10/2026),0,0,1/3/2017,0,0.9,0.0
402,OHA Credit Partners XI,Investment vehicle,Subordinated notes ($17.8 par due 1/2032),10.2,%,0,1/3/2017,12.6,13.7
403,"Partnership Capital Growth Investors III, L.P.",Investment partnership,Limited partnership interest (2.50% interest),0,0,10/5/2011,0,2.4,4.8
404,"PCG-Ares Sidecar Investment II, L.P. (4)",Investment partnership,Limited partnership interest (100.00% interest),0,0,10/31/2014,0,6.8,12.6
405,"PCG-Ares Sidecar Investment, L.P. (4)",Investment partnership,Limited partnership interest (100.00% interest),0,0,5/22/2014,0,4.8,4.1
406,"Piper Jaffray Merchant Banking Fund I, L.P.",Investment partnership,Limited partnership interest (2.00% interest),0,0,8/16/2012,0,1.1,1.3
407,"Senior Direct Lending Program, LLC (5)(19)",Co-investment vehicle,Subordinated certificates ($908.9 par due 12/2036),9.90% (Libor + 8.00%/Q)(14),0,7/27/2016,0,908.9,908.9
408,"Senior Direct Lending Program, LLC (5)(19)",Co-investment vehicle,Member interest (87.50% interest),0,0,7/27/2016,0,0.0,0.0
409,"Vitesse CLO, Ltd.",Investment vehicle,"Preferred shares (20,000,000 shares)",0,0,1/3/2017,0,0.0,0.0
410,Voya CLO 2014-4 Ltd.,Investment vehicle,Subordinated notes ($26.7 par due 7/2031),9.6,%,0,1/3/2017,13.3,12.3
411,VSC Investors LLC,Investment company,Membership interest (1.95% interest),0,0,1/24/2008,0,0.3,0.8
412,"1A Smart Start, LLC (17)",Provider of ignition interlock devices,First lien senior secured revolving loan ($0.5 par due 8/2020),6.30% (Libor + 4.50%/M),0,2/8/2018,0,0.5,0.5
413,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc. (5)",Restaurant owner and operator,First lien senior secured loan ($56.6 par due 12/2019),0,0,11/27/2006,0,39.9,0.0
414,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc. (5)",Restaurant owner and operator,First lien senior secured loan ($5.4 par due 12/2019),0,0,12/22/2016,0,4.8,0.0
415,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc. (5)",Restaurant owner and operator,Promissory note ($31.8 par due 12/2023),0,0,11/27/2006,0,13.8,0.0
416,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc. (5)",Restaurant owner and operator,Warrant to purchase up to 0.95 units of Series D common stock (expires 12/2023),0,0,12/18/2013,0,0.0,0.0
417,"Aimbridge Acquisition Co., Inc.",Hotel operator,Second lien senior secured loan ($22.5 par due 2/2027),9.19% (Libor + 7.50%/M),0,2/1/2019,0,22.1,22.1
