,Company (1),Business Description,Investment,Interest (3)(7),Acquisition Date,Amortized Cost,Fair Value
581,"Alera Group, Inc. (16)",Insurance service provider,First lien senior secured loan ($47.2 par due 10/2028),6.25% (LIBOR + 5.50%/M),9/30/2021,47.2,46.7
582,"Alera Group, Inc. (16)",Insurance service provider,First lien senior secured loan ($28.0 par due 10/2028),6.25% (LIBOR + 5.50%/M),9/30/2021,28.0,27.7
584,Amynta Agency Borrower Inc. and Amynta Warranty Borrower Inc.,Insurance service provider,First lien senior secured loan ($1.0 par due 02/2025),4.96% (LIBOR + 4.50%/M),12/21/2018,1.0,1.0
585,"AQ Sunshine, Inc. (16)",Specialized insurance broker,First lien senior secured revolving loan ($0.6 par due 04/2024),7.00% (LIBOR + 6.00%/Q),4/15/2019,0.6,0.6
586,"AQ Sunshine, Inc. (16)",Specialized insurance broker,First lien senior secured loan ($14.9 par due 04/2025),7.00% (LIBOR + 6.00%/Q),6/28/2021,14.9,14.9
587,"AQ Sunshine, Inc. (16)",Specialized insurance broker,First lien senior secured loan ($8.6 par due 04/2025),7.00% (LIBOR + 6.00%/Q),4/15/2019,8.6,8.6
588,"AQ Sunshine, Inc. (16)",Specialized insurance broker,First lien senior secured loan ($6.1 par due 04/2025),7.00% (LIBOR + 6.00%/Q),1/14/2022,6.1,6.1
589,"AQ Sunshine, Inc. (16)",Specialized insurance broker,First lien senior secured loan ($5.6 par due 04/2025),7.00% (LIBOR + 6.00%/S),10/29/2020,5.6,5.6
591,Ardonagh Midco 2 plc and Ardonagh Midco 3 plc,Insurance broker and underwriting servicer,First lien senior secured loan ($90.0 par due 07/2026),6.50% (LIBOR + 5.75%/S),8/19/2021,90.0,90.0
592,Ardonagh Midco 2 plc and Ardonagh Midco 3 plc,Insurance broker and underwriting servicer,First lien senior secured loan ($14.1 par due 07/2026),7.72% (SONIA + 6.75%/S),6/26/2020,14.8,14.1
593,Ardonagh Midco 2 plc and Ardonagh Midco 3 plc,Insurance broker and underwriting servicer,First lien senior secured loan ($67.5 par due 07/2026),7.97% (SONIA + 7.00%/S),6/26/2020,64.7,67.5
594,Ardonagh Midco 2 plc and Ardonagh Midco 3 plc,Insurance broker and underwriting servicer,First lien senior secured loan ($7.2 par due 07/2026),8.00% (GBP LIBOR + 7.00%/S),6/26/2020,7.5,7.2
595,Ardonagh Midco 2 plc and Ardonagh Midco 3 plc,Insurance broker and underwriting servicer,Senior subordinated loan ($1.3 par due 01/2027),11.50% PIK,6/26/2020,1.3,1.4
597,Benecon Midco II LLC and Locutus Holdco LLC (16),Employee benefits provider for small and mid-size employers,"Common units (9,803,682 units)",0,12/4/2020,10.0,16.3
599,"Benefytt Technologies, Inc. (16)",Health insurance sales platform provider,First lien senior secured loan ($23.4 par due 08/2027),6.75% (LIBOR + 6.00%/Q),8/12/2021,23.4,22.2
600,"Foundation Risk Partners, Corp. (16)",Full service independent insurance agency,First lien senior secured loan ($122.4 par due 10/2028),6.50% (LIBOR + 5.75%/S),10/29/2021,122.4,122.4
601,"Foundation Risk Partners, Corp. (16)",Full service independent insurance agency,First lien senior secured loan ($33.0 par due 10/2028),6.50% (LIBOR + 5.75%/S),10/29/2021,33.0,33.0
603,Galway Borrower LLC (16),Insurance service provider,First lien senior secured revolving loan,0,9/30/2021,0.0,0.0
604,Galway Borrower LLC (16),Insurance service provider,First lien senior secured loan ($36.0 par due 09/2028),6.26% (LIBOR + 5.25%/Q),9/30/2021,36.0,36.0
605,Galway Borrower LLC (16),Insurance service provider,First lien senior secured loan ($1.3 par due 09/2028),6.26% (LIBOR + 5.25%/Q),9/30/2021,1.3,1.3
607,"High Street Buyer, Inc. and High Street Holdco LLC (16)",Insurance brokerage platform,First lien senior secured loan ($12.4 par due 04/2028),6.75% (LIBOR + 6.00%/Q),8/11/2021,12.4,12.2
608,"High Street Buyer, Inc. and High Street Holdco LLC (16)",Insurance brokerage platform,First lien senior secured loan ($2.2 par due 04/2028),6.50% (LIBOR + 5.75%/Q),2/4/2022,2.2,2.2
609,"High Street Buyer, Inc. and High Street Holdco LLC (16)",Insurance brokerage platform,First lien senior secured loan ($11.9 par due 04/2028),6.75% (LIBOR + 6.00%/Q),4/16/2021,11.9,11.8
610,"High Street Buyer, Inc. and High Street Holdco LLC (16)",Insurance brokerage platform,First lien senior secured loan ($22.9 par due 04/2028),6.75% (LIBOR + 6.00%/M),4/16/2021,22.9,22.6
611,"High Street Buyer, Inc. and High Street Holdco LLC (16)",Insurance brokerage platform,"Series A preferred units (96,763,329 units)",10.00% PIK,4/16/2021,103.6,103.6
612,"High Street Buyer, Inc. and High Street Holdco LLC (16)",Insurance brokerage platform,"Series A common units (4,649,000 units)",10.00% PIK,4/16/2021,5.0,7.4
613,"High Street Buyer, Inc. and High Street Holdco LLC (16)",Insurance brokerage platform,"Series C common units (4,979,318 units)",10.00% PIK,4/16/2021,0.2,7.9
615,"K2 Insurance Services, LLC and K2 Holdco LP (16)",Specialty insurance and managing general agency,First lien senior secured revolving loan,0,7/1/2019,0.0,0.0
616,"K2 Insurance Services, LLC and K2 Holdco LP (16)",Specialty insurance and managing general agency,First lien senior secured loan ($0.2 par due 07/2026),6.01% (LIBOR + 5.00%/Q),8/16/2021,0.2,0.2
617,"K2 Insurance Services, LLC and K2 Holdco LP (16)",Specialty insurance and managing general agency,First lien senior secured loan ($50.8 par due 07/2026),6.01% (LIBOR + 5.00%/Q),7/1/2019,50.8,50.8
618,"K2 Insurance Services, LLC and K2 Holdco LP (16)",Specialty insurance and managing general agency,First lien senior secured loan ($0.6 par due 07/2026),6.01% (LIBOR + 5.00%/Q),12/29/2021,0.6,0.6
619,"K2 Insurance Services, LLC and K2 Holdco LP (16)",Specialty insurance and managing general agency,"Common units (799,000 units)",0,7/1/2019,0.8,2.1
621,"NSM Insurance Group, LLC (16)",Insurance program administrator,First lien senior secured revolving loan ($0.6 par due 11/2025),7.25% (Base Rate + 3.75%/Q),6/2/2021,0.6,0.6
622,"NSM Insurance Group, LLC (16)",Insurance program administrator,First lien senior secured loan ($12.7 par due 05/2026),6.00% (LIBOR + 4.75%/Q),5/11/2018,12.7,12.7
624,OneDigital Borrower LLC (16),Benefits broker and outsourced workflow automation platform provider for brokers,First lien senior secured revolving loan,0,11/16/2020,0.0,0.0
625,"Patriot Growth Insurance Services, LLC (16)",National retail insurance agency,First lien senior secured loan ($12.0 par due 10/2028),6.25% (LIBOR + 5.50%/B),10/14/2021,11.8,11.9
626,People Corporation (16),"Provider of group benefits, group retirement and human resources services",First lien senior secured revolving loan ($2.9 par due 02/2027),7.25% (CDOR + 6.25%/Q),2/18/2021,2.8,2.9
627,People Corporation (16),"Provider of group benefits, group retirement and human resources services",First lien senior secured loan ($1.4 par due 02/2028),6.37% (CDOR + 5.50%/Q),9/8/2021,1.3,1.4
628,People Corporation (16),"Provider of group benefits, group retirement and human resources services",First lien senior secured loan ($58.7 par due 02/2028),7.25% (CDOR + 6.25%/Q),2/18/2021,58.1,58.7
631,"RSC Acquisition, Inc. and RSC Insurance Brokerage, Inc. (16)",Insurance broker,First lien senior secured revolving loan,0,11/1/2019,0.0,0.0
632,"RSC Acquisition, Inc. and RSC Insurance Brokerage, Inc. (16)",Insurance broker,First lien senior secured loan ($33.1 par due 10/2026),6.27% (LIBOR + 5.50%/Q),11/1/2019,33.1,33.1
634,"SageSure Holdings, LLC & Insight Catastrophe Group, LLC (16)",Insurance service provider,First lien senior secured revolving loan ($3.5 par due 01/2028),6.25% (LIBOR + 5.75%/M),1/28/2022,3.5,3.4
635,"SageSure Holdings, LLC & Insight Catastrophe Group, LLC (16)",Insurance service provider,First lien senior secured loan ($13.6 par due 01/2028),6.25% (LIBOR + 5.75%/Q),1/28/2022,13.6,13.4
636,"SageSure Holdings, LLC & Insight Catastrophe Group, LLC (16)",Insurance service provider,Series A units (732 units),0,2/18/2022,15.6,15.6
638,SCM Insurance Services Inc. (16),"Provider of claims management, claims investigation & support and risk management solutions for the Canadian property and casualty insurance industry",First lien senior secured loan ($20.6 par due 08/2024),6.00% (CDOR + 5.00%/M),8/29/2017,20.6,20.6
639,SCM Insurance Services Inc. (16),"Provider of claims management, claims investigation & support and risk management solutions for the Canadian property and casualty insurance industry",Second lien senior secured loan ($60.8 par due 03/2025),10.00% (CDOR + 9.00%/M),8/29/2017,60.5,60.8
641,"SelectQuote, Inc.",Direct to consumer insurance distribution platform,First lien senior secured loan ($22.5 par due 11/2024),5.75% (LIBOR + 5.00%/M),11/5/2019,22.5,20.9
642,"SG Acquisition, Inc.",Provider of insurance solutions for car sales,First lien senior secured loan ($35.6 par due 01/2027),6.01% (LIBOR + 5.00%/Q),1/27/2020,35.6,35.6
643,"Spring Insurance Solutions, LLC (16)",Technology-based direct to consumer sales and marketing platform for insurance products,First lien senior secured loan ($19.0 par due 11/2025),7.50% (LIBOR + 6.50%/Q),11/23/2020,19.0,17.6
644,"Spring Insurance Solutions, LLC (16)",Technology-based direct to consumer sales and marketing platform for insurance products,First lien senior secured loan ($0.7 par due 11/2025),7.50% (LIBOR + 6.50%/Q),11/23/2020,0.7,0.6
646,"THG Acquisition, LLC (16)",Multi-line insurance broker,First lien senior secured revolving loan,0,12/2/2019,0.0,0.0
647,"THG Acquisition, LLC (16)",Multi-line insurance broker,First lien senior secured loan ($14.9 par due 12/2026),6.76% (LIBOR + 5.75%/Q),12/15/2020,14.9,14.9
648,"THG Acquisition, LLC (16)",Multi-line insurance broker,First lien senior secured loan ($3.1 par due 12/2026),6.51% (LIBOR + 5.50%/Q),12/10/2021,3.1,3.1
649,"THG Acquisition, LLC (16)",Multi-line insurance broker,First lien senior secured loan ($0.1 par due 12/2026),6.76% (LIBOR + 5.75%/Q),12/2/2019,0.1,0.1
650,"THG Acquisition, LLC (16)",Multi-line insurance broker,First lien senior secured loan ($0.1 par due 12/2026),6.76% (LIBOR + 5.75%/Q),12/15/2020,0.1,0.1
654,ACAS Equity Holdings Corporation (5),Investment company,Common stock (589 shares),0,1/3/2017,0.4,0.4
655,ARES 2007-3R,Investment vehicle,Subordinated notes,0,1/3/2017,0.0,0.0
656,"Blue Wolf Capital Fund II, L.P. (4)",Investment partnership,Limited partnership interest (8.50% interest),0,1/3/2017,0.0,0.2
657,CoLTs 2005-1 Ltd. (5),Investment vehicle,Preferred shares (360 shares),0,1/3/2017,0.0,0.0
658,CREST Exeter Street Solar 2004-1,Investment vehicle,"Preferred shares (3,500,000 shares)",0,1/3/2017,0.0,0.0
659,European Capital UK SME Debt LP (4),Investment partnership,Limited partnership interest (45% interest),0,1/3/2017,18.8,28.9
660,"HCI Equity, LLC (5)",Investment company,Member interest (100.00% interest),0,4/1/2010,0.0,0.0
661,"Partnership Capital Growth Investors III, L.P.",Investment partnership,Limited partnership interest (2.50% interest),0,10/5/2011,1.8,3.6
662,"PCG-Ares Sidecar Investment II, L.P. (4)",Investment partnership,Limited partnership interest (100.00% interest),0,10/31/2014,7.0,11.1
664,"PCG-Ares Sidecar Investment, L.P. (4)",Investment partnership,Limited partnership interest (100.00% interest),0,5/22/2014,4.3,1.3
665,"Piper Jaffray Merchant Banking Fund I, L.P.",Investment partnership,Limited partnership interest (2.00% interest),0,8/16/2012,0.1,0.5
666,"Senior Direct Lending Program, LLC (5)(18)",Co-investment vehicle,Subordinated certificates ($973.8 par due 12/2036),8.96% (LIBOR + 8.00%/Q)(13),7/27/2016,973.8,973.8
667,"Senior Direct Lending Program, LLC (5)(18)",Co-investment vehicle,Membership interest (87.50% interest),0,7/27/2016,0.0,0.0
669,VSC Investors LLC,Investment company,Membership interest (1.95% interest),0,1/24/2008,0.2,0.5
672,"Badger Sportswear Acquisition, Inc.",Provider of team uniforms and athletic wear,Second lien senior secured loan ($56.8 par due 03/2024),10.25% (LIBOR + 9.00%/Q),9/6/2016,56.8,56.8
673,"Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,Common units (421 units),0,4/24/2014,4.2,0.0
674,Centric Brands LLC and Centric Brands GP LLC (16),"Designer, marketer and distributor of licensed and owned apparel",First lien senior secured revolving loan ($4.4 par due 10/2024),6.50% (LIBOR + 5.50%/Q),5/20/2020,4.4,4.4
675,Centric Brands LLC and Centric Brands GP LLC (16),"Designer, marketer and distributor of licensed and owned apparel",First lien senior secured loan ($69.7 par due 10/2025),10.00% PIK (LIBOR + 9.00%/Q),10/29/2018,69.5,69.7
676,Centric Brands LLC and Centric Brands GP LLC (16),"Designer, marketer and distributor of licensed and owned apparel","Membership interests (279,392 interests)",0,10/29/2018,2.9,11.5
678,"DRS Holdings III, Inc. and DRS Holdings I, Inc. (16)",Footwear and orthopedic foot-care brand,First lien senior secured loan ($27.4 par due 11/2025),6.75% (LIBOR + 5.75%/M),6/1/2021,27.4,27.4
679,"DRS Holdings III, Inc. and DRS Holdings I, Inc. (16)",Footwear and orthopedic foot-care brand,First lien senior secured loan ($29.7 par due 11/2025),6.75% (LIBOR + 5.75%/Q),11/1/2019,29.7,29.7
680,"DRS Holdings III, Inc. and DRS Holdings I, Inc. (16)",Footwear and orthopedic foot-care brand,"Common stock (8,549 shares)",0,11/1/2019,8.5,12.8
682,"Implus Footcare, LLC",Provider of footwear and other accessories,First lien senior secured loan ($117.2 par due 04/2024),8.76% (LIBOR + 7.75%/Q),6/1/2017,117.2,107.8
683,"Implus Footcare, LLC",Provider of footwear and other accessories,First lien senior secured loan ($1.3 par due 04/2024),8.75% (LIBOR + 7.75%/Q),6/30/2016,1.3,1.2
684,"Implus Footcare, LLC",Provider of footwear and other accessories,First lien senior secured loan ($5.0 par due 04/2024),8.76% (LIBOR + 7.75%/Q),7/17/2018,5.0,4.6
686,Johnnie-O Inc. and Johnnie-O Holdings Inc.,Apparel retailer,First lien senior secured loan ($19.2 par due 03/2027),7.50% (SOFR + 6.50%/Q),3/16/2022,18.2,18.2
687,Johnnie-O Inc. and Johnnie-O Holdings Inc.,Apparel retailer,"Series A convertible preferred stock (144,211 shares)",0,3/16/2022,4.2,4.2
688,Johnnie-O Inc. and Johnnie-O Holdings Inc.,Apparel retailer,"Warrant to purchase up to 76,491 shares of common stock (expires 3/2032)",0,3/16/2022,1.0,1.0
690,"Lew's Intermediate Holdings, LLC (16)",Outdoor brand holding company,First lien senior secured revolving loan ($0.9 par due 02/2026),4.22% (SOFR + 4.00%/Q),2/11/2021,0.9,0.9
691,"Lew's Intermediate Holdings, LLC (16)",Outdoor brand holding company,First lien senior secured revolving loan ($0.4 par due 02/2026),4.33% (SOFR + 4.27%/Q),2/11/2021,0.4,0.4
692,"Lew's Intermediate Holdings, LLC (16)",Outdoor brand holding company,First lien senior secured loan ($1.0 par due 02/2028),5.75% (SOFR + 5.00%/Q),2/11/2021,1.0,1.0
694,"New Era Cap, LLC",Sports apparel manufacturing company,First lien senior secured loan ($28.8 par due 07/2027),6.75% (LIBOR + 6.00%/Q),1/13/2022,28.8,28.6
696,"Pelican Products, Inc. (16)",Flashlights manufacturer,Second lien senior secured loan ($60.0 par due 12/2029),8.76% (LIBOR + 7.75%/Q),12/31/2021,60.0,59.4
697,"Rawlings Sporting Goods Company, Inc. and Easton Diamond Sports, LLC",Sports equipment manufacturing company,First lien senior secured loan ($8.8 par due 12/2026),7.76% (LIBOR + 6.75%/Q),11/3/2021,8.8,8.8
698,"Rawlings Sporting Goods Company, Inc. and Easton Diamond Sports, LLC",Sports equipment manufacturing company,First lien senior secured loan ($92.9 par due 12/2026),7.76% (LIBOR + 6.75%/Q),12/31/2020,92.9,92.9
700,"Reef Lifestyle, LLC (16)",Apparel retailer,First lien senior secured revolving loan ($30.6 par due 10/2024),"7.50% (LIBOR + 4.50% Cash, 2.00% PIK/M)",10/26/2018,30.6,30.6
701,"Reef Lifestyle, LLC (16)",Apparel retailer,First lien senior secured revolving loan ($0.7 par due 10/2024),"7.50% (LIBOR + 4.50% Cash, 2.00% PIK/M)",7/31/2020,0.7,0.7
702,"Reef Lifestyle, LLC (16)",Apparel retailer,First lien senior secured loan ($24.6 par due 10/2024),"7.50% (LIBOR + 4.50% Cash, 2.00% PIK/Q)",10/26/2018,24.6,24.6
703,"Reef Lifestyle, LLC (16)",Apparel retailer,First lien senior secured loan ($1.1 par due 10/2024),"7.50% (LIBOR + 4.50% Cash, 2.00% PIK/Q)",7/31/2020,1.1,1.1
705,"S Toys Holdings LLC (fka The Step2 Company, LLC) (5)",Toy manufacturer,"Common units (1,116,879 units)",0,4/1/2011,0.0,0.0
706,"S Toys Holdings LLC (fka The Step2 Company, LLC) (5)",Toy manufacturer,"Class B common units (126,278,000 units)",0,10/30/2014,0.0,0.2
707,"S Toys Holdings LLC (fka The Step2 Company, LLC) (5)",Toy manufacturer,"Warrant to purchase up to 3,157,895 units",0,4/1/2010,0.0,0.0
709,SHO Holding I Corporation,Manufacturer and distributor of slip resistant footwear,Second lien senior secured loan ($119.1 par due 10/2024),9.54% PIK (LIBOR + 8.54%/Q),10/27/2015,118.5,101.3
710,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (4)(16)","Developer, marketer and distributor of sports protection equipment and accessories",First lien senior secured revolving loan,0,5/21/2019,0.0,0.0
711,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (4)(16)","Developer, marketer and distributor of sports protection equipment and accessories",First lien senior secured loan ($19.1 par due 05/2024),5.75% (SOFR + 4.75%/Q),5/21/2019,19.1,19.1
712,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (4)(16)","Developer, marketer and distributor of sports protection equipment and accessories","Class A preferred units (50,000 units)",0,3/14/2014,5.0,1.4
713,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (4)(16)","Developer, marketer and distributor of sports protection equipment and accessories","Class C preferred units (50,000 units)",0,4/22/2015,5.0,1.4
714,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (4)(16)","Developer, marketer and distributor of sports protection equipment and accessories","Preferred units (14,591 units)",0,5/14/2019,1.6,2.1
716,SVP-Singer Holdings Inc. and SVP-Singer Holdings LP,Manufacturer of consumer sewing machines,First lien senior secured loan ($44.8 par due 07/2028),7.76% (LIBOR + 6.75%/Q),7/30/2021,43.7,42.5
717,SVP-Singer Holdings Inc. and SVP-Singer Holdings LP,Manufacturer of consumer sewing machines,"Class A common units (6,264,706 units)",0,7/30/2021,26.1,24.2
719,"Totes Isotoner Corporation and Totes Ultimate Holdco, Inc. (4)","Designer, marketer, and distributor of rain and cold weather products",First lien senior secured loan ($1.6 par due 06/2024),5.00% (LIBOR + 4.00%/Q),12/23/2019,1.6,1.6
720,"Totes Isotoner Corporation and Totes Ultimate Holdco, Inc. (4)","Designer, marketer, and distributor of rain and cold weather products",First lien senior secured loan ($2.2 par due 12/2024),7.00% (LIBOR + 6.00%/Q),12/23/2019,2.2,1.8
721,"Totes Isotoner Corporation and Totes Ultimate Holdco, Inc. (4)","Designer, marketer, and distributor of rain and cold weather products","Common stock (861,000 shares)",0,12/23/2019,6.0,0.0
723,"Varsity Brands Holding Co., Inc. and BCPE Hercules Holdings, LP","Leading manufacturer and distributor of textiles, apparel & luxury goods",Second lien senior secured loan ($21.1 par due 12/2025),9.25% (LIBOR + 8.25%/M),7/30/2018,21.1,20.7
724,"Varsity Brands Holding Co., Inc. and BCPE Hercules Holdings, LP","Leading manufacturer and distributor of textiles, apparel & luxury goods",Second lien senior secured loan ($122.7 par due 12/2025),9.25% (LIBOR + 8.25%/M),12/15/2017,122.7,120.3
725,"Varsity Brands Holding Co., Inc. and BCPE Hercules Holdings, LP","Leading manufacturer and distributor of textiles, apparel & luxury goods","Class A Units (1,400 units)",0,7/30/2018,1.4,0.9
730,"AI Aqua Merger Sub, Inc.",End to end provider of water solutions to a wide range of customer bases,First lien senior secured loan ($1.0 par due 07/2028),4.25% (LIBOR + 3.75%/M),6/17/2021,1.0,1.0
731,"Arrowhead Holdco Company and Arrowhead GS Holdings, Inc. (16)","Distributor of non-discretionary, mission-critical aftermarket replacement parts",First lien senior secured revolving loan ($13.7 par due 08/2027),5.25% (LIBOR + 4.50%/M),8/31/2021,13.7,13.7
732,"Arrowhead Holdco Company and Arrowhead GS Holdings, Inc. (16)","Distributor of non-discretionary, mission-critical aftermarket replacement parts",First lien senior secured loan ($8.3 par due 08/2028),5.25% (LIBOR + 4.50%/Q),8/31/2021,8.3,8.3
733,"Arrowhead Holdco Company and Arrowhead GS Holdings, Inc. (16)","Distributor of non-discretionary, mission-critical aftermarket replacement parts","Common stock (5,054 shares)",0,8/31/2021,5.1,8.6
735,"Cadence Aerospace, LLC (16)",Aerospace precision components manufacturer,First lien senior secured revolving loan ($10.5 par due 11/2022),"9.50% (LIBOR + 6.50% Cash, 2.00% PIK/Q)",11/14/2017,10.5,10.2
736,"Cadence Aerospace, LLC (16)",Aerospace precision components manufacturer,First lien senior secured revolving loan ($0.8 par due 11/2023),"9.50% (LIBOR + 6.50% Cash, 2.00% PIK/Q)",7/22/2020,0.7,0.8
737,"Cadence Aerospace, LLC (16)",Aerospace precision components manufacturer,First lien senior secured loan ($31.4 par due 11/2023),"9.50% (LIBOR + 6.50% Cash, 2.00% PIK/Q)",11/14/2017,31.3,30.4
738,"Cadence Aerospace, LLC (16)",Aerospace precision components manufacturer,First lien senior secured loan ($9.8 par due 11/2023),"9.50% (LIBOR + 6.50% Cash, 2.00% PIK/Q)",7/5/2018,9.8,9.5
739,"Cadence Aerospace, LLC (16)",Aerospace precision components manufacturer,First lien senior secured loan ($11.9 par due 11/2023),"9.50% (LIBOR + 6.50% Cash, 2.00% PIK/Q)",10/31/2019,11.9,11.6
740,"Cadence Aerospace, LLC (16)",Aerospace precision components manufacturer,First lien senior secured loan ($7.8 par due 11/2023),"9.51% (LIBOR + 6.50% Cash, 2.00% PIK/Q)",2/12/2020,7.8,7.6
741,"Cadence Aerospace, LLC (16)",Aerospace precision components manufacturer,First lien senior secured loan ($4.3 par due 11/2023),"9.50% (LIBOR + 6.50% Cash, 2.00% PIK/Q)",7/31/2020,4.1,4.2
743,"DFS Holding Company, Inc.","Distributor of maintenance, repair, and operations parts, supplies, and equipment to the foodservice industry",First lien senior secured loan ($166.3 par due 08/2023),"8.50% (LIBOR + 6.00% Cash, 1.50% PIK/M)",7/26/2017,166.3,162.9
744,"DFS Holding Company, Inc.","Distributor of maintenance, repair, and operations parts, supplies, and equipment to the foodservice industry",First lien senior secured loan ($4.3 par due 08/2023),"8.50% (LIBOR + 6.00% Cash, 1.50% PIK/M)",3/1/2017,4.3,4.2
745,"DFS Holding Company, Inc.","Distributor of maintenance, repair, and operations parts, supplies, and equipment to the foodservice industry",First lien senior secured loan ($5.6 par due 08/2023),"8.50% (LIBOR + 6.00% Cash, 1.50% PIK/M)",5/22/2020,5.6,5.5
747,"Dynamic NC Aerospace Holdings, LLC and Dynamic NC Investment Holdings, LP (16)",Provider of aerospace technology and equipment,First lien senior secured loan ($25.7 par due 12/2026),7.50% (LIBOR + 6.50%/Q),12/30/2020,25.7,25.4
748,"Dynamic NC Aerospace Holdings, LLC and Dynamic NC Investment Holdings, LP (16)",Provider of aerospace technology and equipment,"Common units (9,773,000 units)",0,12/30/2020,9.8,9.5
750,"EPS NASS Parent, Inc. (16)",Provider of maintenance and engineering services for electrical infrastructure,First lien senior secured revolving loan ($1.0 par due 04/2026),6.75% (LIBOR + 5.75%/M),4/19/2021,1.0,1.0
751,"EPS NASS Parent, Inc. (16)",Provider of maintenance and engineering services for electrical infrastructure,First lien senior secured loan ($0.1 par due 04/2028),6.76% (LIBOR + 5.75%/Q),4/19/2021,0.1,0.1
753,"ESCP PPG Holdings, LLC (4)",Distributor of new equipment and aftermarket parts to the heavy-duty truck industry,"Class A units (3,500,000 units)",0,12/14/2016,3.5,1.8
755,"Harvey Tool Company, LLC (16)",Manufacturer of cutting tools used in the metalworking industry,First lien senior secured revolving loan ($2.5 par due 10/2027),6.51% (LIBOR + 5.50%/Q),10/26/2021,2.5,2.4
756,"Harvey Tool Company, LLC (16)",Manufacturer of cutting tools used in the metalworking industry,First lien senior secured loan ($22.7 par due 10/2027),6.51% (LIBOR + 5.50%/Q),10/26/2021,22.7,22.4
758,"Imaging Business Machines, L.L.C. and Scanner Holdings Corporation (5)",Provider of high-speed intelligent document scanning hardware and software,Senior subordinated loan ($16.6 par due 06/2022),14.00%,1/3/2017,16.6,16.6
759,"Imaging Business Machines, L.L.C. and Scanner Holdings Corporation (5)",Provider of high-speed intelligent document scanning hardware and software,"Series A preferred stock (73,804,135 shares)",8.00% PIK,1/3/2017,4.9,50.2
760,"Imaging Business Machines, L.L.C. and Scanner Holdings Corporation (5)",Provider of high-speed intelligent document scanning hardware and software,"Class A common stock (48,082 shares)",0,1/3/2017,0.0,0.2
761,"Imaging Business Machines, L.L.C. and Scanner Holdings Corporation (5)",Provider of high-speed intelligent document scanning hardware and software,"Class B common stock (431,055 shares)",0,1/3/2017,0.1,2.2
763,"Kene Acquisition, Inc. and Kene Holdings, L.P. (16)","National utility services firm providing engineering and consulting services to natural gas, electric power and other energy and industrial end markets",First lien senior secured revolving loan ($5.1 par due 08/2024),5.26% (LIBOR + 4.25%/Q),8/8/2019,5.1,5.1
764,"Kene Acquisition, Inc. and Kene Holdings, L.P. (16)","National utility services firm providing engineering and consulting services to natural gas, electric power and other energy and industrial end markets",First lien senior secured loan ($41.0 par due 08/2026),5.26% (LIBOR + 4.25%/Q),8/8/2019,41.0,41.0
765,"Kene Acquisition, Inc. and Kene Holdings, L.P. (16)","National utility services firm providing engineering and consulting services to natural gas, electric power and other energy and industrial end markets","Class A units (4,549,000 units)",0,8/8/2019,4.5,5.7
767,"Lower ACS, Inc. (16)",Provider of commercial HVAC equipment and services,First lien senior secured loan ($24.7 par due 01/2028),6.75% (LIBOR + 5.75%/Q),1/7/2022,24.7,24.5
768,"LTG Acquisition, Inc.","Designer and manufacturer of display, lighting and passenger communication systems for mass transportation markets","Class A membership units (5,000 units)",0,1/3/2017,5.1,0.0
769,"Maverick Acquisition, Inc. (16)",Manufacturer of precision machined components for defense and high-tech industrial platforms,First lien senior secured loan ($27.8 par due 06/2027),7.00% (LIBOR + 6.00%/Q),6/1/2021,27.8,27.0
770,MB Aerospace Holdings II Corp.,Aerospace engine components manufacturer,First lien senior secured loan ($11.7 par due 01/2025),4.51% (LIBOR + 3.50%/Q),6/24/2021,11.0,10.5
771,MB Aerospace Holdings II Corp.,Aerospace engine components manufacturer,Second lien senior secured loan ($23.6 par due 01/2026),10.01% (LIBOR + 9.00%/Q),5/28/2019,23.6,21.3
772,MB Aerospace Holdings II Corp.,Aerospace engine components manufacturer,Second lien senior secured loan ($68.4 par due 01/2026),10.01% (LIBOR + 9.00%/Q),1/22/2018,68.4,61.6
774,"NCWS Intermediate, Inc. and NCWS Holdings LP (16)","Manufacturer and supplier of car wash equipment, parts and supplies to the conveyorized car wash market",First lien senior secured loan ($148.0 par due 12/2026),6.75% (LIBOR + 6.00%/M),11/4/2021,148.0,148.0
775,"NCWS Intermediate, Inc. and NCWS Holdings LP (16)","Manufacturer and supplier of car wash equipment, parts and supplies to the conveyorized car wash market",First lien senior secured loan ($0.2 par due 12/2026),6.75% (LIBOR + 6.00%/M),12/29/2020,0.2,0.2
776,"NCWS Intermediate, Inc. and NCWS Holdings LP (16)","Manufacturer and supplier of car wash equipment, parts and supplies to the conveyorized car wash market","Class A-2 common units (12,296,000 units)",0,12/29/2020,12.9,26.8
778,"Osmose Utilities Services, Inc. and Pine Intermediate Holding LLC",Provider of structural integrity management services to transmission and distribution infrastructure,Second lien senior secured loan ($55.3 par due 06/2029),7.25% (LIBOR + 6.75%/M),6/23/2021,55.3,54.7
