,Industry,Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
611,"AVAD, LLC",AVAD Canada Ltd.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/02/23,681,(15,(11,(8)(9)(21)(23),
612,"AVAD, LLC","AVAD, LLC",First Lien Secured Debt,"9.44 (1M L+775, 1.00 Floor)",10/02/23,8889,8752,8708,(9),
613,"AVAD, LLC","AVAD, LLC",First Lien Secured Debt - Revolver,"5.69 (1M L+400, 1.00 Floor)",10/02/23,15931,15931,15671,(9)(23),
614,"AVAD, LLC","AVAD, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/02/23,2736,(235,(45,(8)(9)(21)(23),
617,Kauffman,"Kauffman Holdco, LLC",Common Equity/Interests - Common Stock,N/A,N/A,"250,000 Shares",250,262,(9)(13),
618,Kauffman,"Kauffman Intermediate, LLC",First Lien Secured Debt,"7.69 (3M L+575, 1.00 Floor)",05/08/25,16883,16581,16687,(9),
619,Kauffman,"Kauffman Intermediate, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/08/25,2409,(46,(24,(8)(9)(21)(23),
620,Kauffman,"Kauffman Intermediate, LLC",First Lien Secured Debt - Letter of Credit,5.75,05/08/25,155,0,(2,(8)(9)(23),
623,MedPlast Holdings Inc.,MedPlast Holdings Inc.,Second Lien Secured Debt,9.69 (3M L+775),07/02/26,8000,7935,7565,(10),
627,New Wave Entertainment,"NW Entertainment, Inc.",First Lien Secured Debt,"8.80 (1M L+700, 1.00 Floor)",08/16/24,23700,23261,23226,(9),
628,New Wave Entertainment,"NW Entertainment, Inc.",First Lien Secured Debt - Revolver,"8.80 (1M L+700, 1.00 Floor)",08/16/24,2100,2100,2058,(9)(23),
630,Nitro World Entertainment,NWE OPCO LP,First Lien Secured Debt,"8.50 (1M L+650, 2.00 Floor)",12/19/22,5000,4975,4975,(9),
632,SESAC Holdco II LLC,SESAC Holdco II LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/23/22,587,(23,(6,(8)(10)(21)(23),
634,Sonar Entertainment,"Sonar Entertainment, Inc.",First Lien Secured Debt,"9.29 (1M L+760, 1.25 Floor)",11/15/21,8360,8269,8214,(9),
635,Sonar Entertainment,"Sonar Entertainment, Inc.",First Lien Secured Debt - Revolver,"9.29 (1M L+760, 1.25 Floor)",11/15/21,4981,4981,4894,(9)(23),
636,Sonar Entertainment,"Sonar Entertainment, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/15/21,17850,(249,(312,(8)(9)(21)(23),
641,"Magnetation, LLC","Magnetation, LLC",First Lien Secured Debt,9.91 (6M L+800 Cash (PIK Toggle)),03/31/20,1213,581,0,(13)(14),
645,IPS,"SI Holdings, Inc.",First Lien Secured Debt,"7.94 (3M L+600, 1.00 Floor)",07/25/25,31721,31119,31086,(9),
646,IPS,"SI Holdings, Inc.",First Lien Secured Debt - Revolver,"7.94 (3M L+600, 1.00 Floor)",07/25/24,853,853,836,(9)(23),
647,IPS,"SI Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/25/24,2560,(62,(51,(8)(9)(21)(23),
650,Rapid Displays,Rapid Displays Acquisition Corporation,First Lien Secured Debt,"6.80 (1M L+500, 1.00 Floor)",07/01/25,508,499,498,(9),
651,Rapid Displays,Rapid Displays Acquisition Corporation,First Lien Secured Debt,"7.19 (6M L+500, 1.00 Floor)",07/01/25,10385,10194,10177,(9),
652,Rapid Displays,Rapid Displays Acquisition Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/01/25,2308,(42,(46,(8)(9)(21)(23),
653,Rapid Displays,Rapid Displays Acquisition Corporation,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,07/01/25,1731,(16,(17,(8)(9)(21)(23),
658,IPC Corporation,IPC Corporation,First Lien Secured Debt,"6.93 (3M L+500, 1.00 Floor)",08/06/21,10000,9951,8957,(9),
659,IPC Corporation,IPC Information Systems UK Holdings Limited,First Lien Secured Debt,"8.39 (3M L+650, 1.50 Floor)",08/06/21,562,539,534,(9),
660,IPC Corporation,IPC Information Systems UK Holdings Limited,First Lien Secured Debt,"8.40 (3M L+650, 1.50 Floor)",08/06/21,843,809,801,(9),
663,"Securus Technologies Holdings, Inc.","Securus Technologies Holdings, Inc.",Second Lien Secured Debt,"10.05 (1M L+825, 1.00 Floor)",11/01/25,12878,12784,11590,,
667,"Dynamic Product Tankers (Prime), LLC","Dynamic Product Tankers, LLC (5)",First Lien Secured Debt,9.10 (3M L+700),06/30/23,42000,41860,42000,(17),
668,"Dynamic Product Tankers (Prime), LLC","Dynamic Product Tankers, LLC (5)",First Lien Secured Debt - Letters of Credit,2.25,09/20/20 - 03/31/21,6050,0,0,(17)(23),
669,"Dynamic Product Tankers (Prime), LLC","Dynamic Product Tankers, LLC (5)",Common Equity - Class A Units,N/A,N/A,N/A,49806,36497,(17)(24),
672,Heniff and Superior,"Heniff Holdco, LLC",First Lien Secured Debt,"7.45 (1M L+575, 1.00 Floor)",12/03/26,31075,30460,30459,(9),
673,Heniff and Superior,"Heniff Holdco, LLC",First Lien Secured Debt - Revolver,"7.45 (1M L+575, 1.00 Floor)",12/03/24,327,327,321,(9)(23),
674,Heniff and Superior,"Heniff Holdco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/03/24,3598,(77,(72,(8)(9)(21)(23),
677,MSEA Tankers LLC,MSEA Tankers LLC (5),Common Equity - Class A Units,N/A,N/A,N/A,61950,61227,(17)(25),
681,Banner Solutions,"Banner Buyer, LLC",First Lien Secured Debt,"7.55 (1M L+575, 1.00 Floor)",10/31/25,12581,12367,12367,(9),
682,Banner Solutions,"Banner Buyer, LLC",First Lien Secured Debt - Revolver,"7.55 (1M L+575, 1.00 Floor)",10/31/25,645,645,634,(9)(23),
683,Banner Solutions,"Banner Buyer, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/31/25,1290,(33,(23,(8)(9)(21)(23),
684,Banner Solutions,"Banner Buyer, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.75 Unfunded,10/31/25,5484,(47,(96,(8)(9)(21)(23),
685,Banner Solutions,"Banner Parent Holdings, Inc",Common Equity/Interests - Common Stock,N/A,N/A,"5,000 Shares",500,500,(9)(13),
